Renhållnings- och återvinningsarbetare,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Restaurang- och köksbiträden m.fl.,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
Restaurang- och kökschefer,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST-läkare,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Skattehandläggare,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skolassistenter m.fl.,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skräddare och ateljésömmerskor m.fl.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Socialsekreterare,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
Specialister inom miljöskydd och miljöteknik,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialistläkare,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0
Speciallärare och specialpedagoger m.fl.,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0
Studie- och yrkesvägledare,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Städare,4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2
"Supporttekniker, IT",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Systemadministratörer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systemanalytiker och IT-arkitekter m.fl.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systemtestare och testledare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Säkerhetsinspektörer m.fl.,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
